Date,Year,Quarter,Month Number,Month,Year-Month,Day,Day Name,Week Number,Is Weekend
2024-01-01,2024,Q1,1,January,2024-01,1,Monday,1,False
2024-01-02,2024,Q1,1,January,2024-01,2,Tuesday,1,False
2024-01-03,2024,Q1,1,January,2024-01,3,Wednesday,1,False
2024-01-04,2024,Q1,1,January,2024-01,4,Thursday,1,False
2024-01-05,2024,Q1,1,January,2024-01,5,Friday,1,False
2024-01-06,2024,Q1,1,January,2024-01,6,Saturday,1,True
2024-01-07,2024,Q1,1,January,2024-01,7,Sunday,1,True
2024-01-08,2024,Q1,1,January,2024-01,8,Monday,2,False
2024-01-09,2024,Q1,1,January,2024-01,9,Tuesday,2,False
2024-01-10,2024,Q1,1,January,2024-01,10,Wednesday,2,False
2024-01-11,2024,Q1,1,January,2024-01,11,Thursday,2,False
2024-01-12,2024,Q1,1,January,2024-01,12,Friday,2,False
2024-01-13,2024,Q1,1,January,2024-01,13,Saturday,2,True
2024-01-14,2024,Q1,1,January,2024-01,14,Sunday,2,True
2024-01-15,2024,Q1,1,January,2024-01,15,Monday,3,False
2024-01-16,2024,Q1,1,January,2024-01,16,Tuesday,3,False
2024-01-17,2024,Q1,1,January,2024-01,17,Wednesday,3,False
2024-01-18,2024,Q1,1,January,2024-01,18,Thursday,3,False
2024-01-19,2024,Q1,1,January,2024-01,19,Friday,3,False
2024-01-20,2024,Q1,1,January,2024-01,20,Saturday,3,True
2024-01-21,2024,Q1,1,January,2024-01,21,Sunday,3,True
2024-01-22,2024,Q1,1,January,2024-01,22,Monday,4,False
2024-01-23,2024,Q1,1,January,2024-01,23,Tuesday,4,False
2024-01-24,2024,Q1,1,January,2024-01,24,Wednesday,4,False
2024-01-25,2024,Q1,1,January,2024-01,25,Thursday,4,False
2024-01-26,2024,Q1,1,January,2024-01,26,Friday,4,False
2024-01-27,2024,Q1,1,January,2024-01,27,Saturday,4,True
2024-01-28,2024,Q1,1,January,2024-01,28,Sunday,4,True
2024-01-29,2024,Q1,1,January,2024-01,29,Monday,5,False
2024-01-30,2024,Q1,1,January,2024-01,30,Tuesday,5,False
2024-01-31,2024,Q1,1,January,2024-01,31,Wednesday,5,False
2024-02-01,2024,Q1,2,February,2024-02,1,Thursday,5,False
2024-02-02,2024,Q1,2,February,2024-02,2,Friday,5,False
2024-02-03,2024,Q1,2,February,2024-02,3,Saturday,5,True
2024-02-04,2024,Q1,2,February,2024-02,4,Sunday,5,True
2024-02-05,2024,Q1,2,February,2024-02,5,Monday,6,False
2024-02-06,2024,Q1,2,February,2024-02,6,Tuesday,6,False
2024-02-07,2024,Q1,2,February,2024-02,7,Wednesday,6,False
2024-02-08,2024,Q1,2,February,2024-02,8,Thursday,6,False
2024-02-09,2024,Q1,2,February,2024-02,9,Friday,6,False
2024-02-10,2024,Q1,2,February,2024-02,10,Saturday,6,True
2024-02-11,2024,Q1,2,February,2024-02,11,Sunday,6,True
2024-02-12,2024,Q1,2,February,2024-02,12,Monday,7,False
2024-02-13,2024,Q1,2,February,2024-02,13,Tuesday,7,False
2024-02-14,2024,Q1,2,February,2024-02,14,Wednesday,7,False
2024-02-15,2024,Q1,2,February,2024-02,15,Thursday,7,False
